Region,Source,Year,Data,Unit
SK,Non-hydro renewables,2011,682,GWh
SK,Non-hydro renewables,2012,655.336,GWh
SK,Non-hydro renewables,2013,646,GWh
SK,Non-hydro renewables,2014,636,GWh
SK,Non-hydro renewables,2015,684,GWh
MB,Non-hydro renewables,2005,80.8532,GWh
MB,Non-hydro renewables,2006,357.5875,GWh
MB,Non-hydro renewables,2007,351.9866,GWh
MB,Non-hydro renewables,2008,449.9816,GWh
MB,Non-hydro renewables,2009,364.512,GWh
MB,Non-hydro renewables,2010,343.196,GWh
MB,Non-hydro renewables,2011,746.902,GWh
MB,Non-hydro renewables,2012,915.4239,GWh
MB,Non-hydro renewables,2013,909.6715,GWh
MB,Non-hydro renewables,2014,955.9925,GWh
MB,Non-hydro renewables,2015,905.26976,GWh
ON,Non-hydro renewables,2005,1277.272,GWh
ON,Non-hydro renewables,2006,1396.793,GWh
ON,Non-hydro renewables,2007,1745.332,GWh
ON,Non-hydro renewables,2008,4068.616,GWh
ON,Non-hydro renewables,2009,3464.3598,GWh
ON,Non-hydro renewables,2010,4245.066,GWh
ON,Non-hydro renewables,2011,5504.4482,GWh
ON,Non-hydro renewables,2012,6684.5195,GWh
ON,Non-hydro renewables,2013,8074.6495,GWh
ON,Non-hydro renewables,2014,11578.2138,GWh
ON,Non-hydro renewables,2015,17099.5837,GWh
QC,Non-hydro renewables,2005,1062,GWh
QC,Non-hydro renewables,2006,1065,GWh
QC,Non-hydro renewables,2007,1263,GWh
QC,Non-hydro renewables,2008,1004,GWh
QC,Non-hydro renewables,2009,1872,GWh
QC,Non-hydro renewables,2010,2391,GWh
QC,Non-hydro renewables,2011,2489,GWh
QC,Non-hydro renewables,2012,3795,GWh
QC,Non-hydro renewables,2013,6335,GWh
QC,Non-hydro renewables,2014,8374,GWh
QC,Non-hydro renewables,2015,10991,GWh
NB,Non-hydro renewables,2005,653,GWh
NB,Non-hydro renewables,2006,653,GWh
NB,Non-hydro renewables,2007,653,GWh
NB,Non-hydro renewables,2008,672,GWh
NB,Non-hydro renewables,2009,934.134,GWh
NB,Non-hydro renewables,2010,966.127,GWh
NB,Non-hydro renewables,2011,1257.973,GWh
NB,Non-hydro renewables,2012,1306.953,GWh
NB,Non-hydro renewables,2013,1287.271,GWh
NB,Non-hydro renewables,2014,1391.85,GWh
NB,Non-hydro renewables,2015,1342.57584,GWh
NS,Non-hydro renewables,2005,403.2465,GWh
NS,Non-hydro renewables,2006,427.3365,GWh
NS,Non-hydro renewables,2007,474.7885,GWh
NS,Non-hydro renewables,2008,470.7125,GWh
NS,Non-hydro renewables,2009,398.8301,GWh
NS,Non-hydro renewables,2010,765.0791,GWh
NS,Non-hydro renewables,2011,1145.2303,GWh
NS,Non-hydro renewables,2012,1186.944,GWh
NS,Non-hydro renewables,2013,1096.2761,GWh
NS,Non-hydro renewables,2014,1396.7336,GWh
NS,Non-hydro renewables,2015,1655.904749,GWh
PE,Non-hydro renewables,2005,40.104,GWh
PE,Non-hydro renewables,2006,36.249,GWh
PE,Non-hydro renewables,2007,39.633,GWh
PE,Non-hydro renewables,2008,147.124,GWh
PE,Non-hydro renewables,2009,352.144,GWh
PE,Non-hydro renewables,2010,462.702,GWh
PE,Non-hydro renewables,2011,492.794,GWh
PE,Non-hydro renewables,2012,472.619,GWh
PE,Non-hydro renewables,2013,503.92,GWh
PE,Non-hydro renewables,2014,601.33477,GWh
PE,Non-hydro renewables,2015,591.19313,GWh
NF,Non-hydro renewables,2005,0,GWh
NF,Non-hydro renewables,2006,0,GWh
NF,Non-hydro renewables,2007,0,GWh
NF,Non-hydro renewables,2008,0,GWh
NF,Non-hydro renewables,2009,102.365,GWh
NF,Non-hydro renewables,2010,183.379,GWh
NF,Non-hydro renewables,2011,197.964,GWh
NF,Non-hydro renewables,2012,195.044,GWh
NF,Non-hydro renewables,2013,191.904,GWh
NF,Non-hydro renewables,2014,176.963,GWh
NF,Non-hydro renewables,2015,188.74296,GWh
NWT,Non-hydro renewables,2005,0,GWh
